CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,PreviousName_3.CONDATE, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
1 ACE SKIPS LIMITED,6300776,,,UNIT 3 WHITEGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,,LA3 3BS,Private Limited Company,Active,United Kingdom,,03/07/2007,31,3,31/12/2023,31/03/2022,TOTAL EXEMPTION FULL,31/07/2016,03/07/2015,1,1,0,0,38110 - Collection of non-hazardous waste,38320 - Recovery of sorted materials,,,0,0,http://business.data.gov.uk/id/company/06300776,,,,,,,,,,,,,,,,,,,,,15/07/2024,01/07/2023
132 THORNTON ROAD MANAGEMENT COMPANY LIMITED,13088442,,,UNIT 2 MIDDLETON BUSINESS PARK,MIDDLETON ROAD,MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 3FH,Private Limited Company,Active,United Kingdom,,17/12/2020,31,12,30/09/2024,31/12/2022,DORMANT,14/01/2022,,0,0,0,0,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id/company/13088442,,,,,,,,,,,,,,,,,,,,,30/12/2023,16/12/2022
2 SOUTH MARINE TERRACE LIMITED,9563256,,,8 HOMFRAY AVENUE,,MORECAMBE,LANCS,ENGLAND,LA3 3AG,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,,27/04/2015,30,4,31/01/2025,30/04/2023,MICRO ENTITY,25/05/2017,27/04/2016,0,0,0,0,98000 - Residents property management,,,,0,0,http://business.data.gov.uk/id/company/09563256,,,,,,,,,,,,,,,,,,,,,11/05/2024,27/04/2023
24  SANDYLANDS PROMENADE PROPERTY MANAGEMENT COMPANY LIMITED,11821147,,,24 SANDYLANDS PROMENADE,,MORECAMBE,,UNITED KINGDOM,LA3 1DN,Private Limited Company,Active,United Kingdom,,12/02/2019,28,2,30/11/2023,28/02/2022,MICRO ENTITY,11/03/2020,,0,0,0,0,68209 - Other letting and operating of own or leased real estate,68320 - Management of real estate on a fee or contract basis,,,0,0,http://business.data.gov.uk/id/company/11821147,,,,,,,,,,,,,,,,,,,,,15/02/2024,01/02/2023
365 HOUSING LTD,13946405,,,35 BRAMBLING DRIVE,HEYSHAM,MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 2LH,Private Limited Company,Active,United Kingdom,,01/03/2022,31,3,01/12/2023,,NO ACCOUNTS FILED,29/03/2023,,2,1,0,1,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id/company/13946405,,,,,,,,,,,,,,,,,,,,,06/09/2024,23/08/2023
369 MARINE ROAD EAST RTM COMPANY LIMITED,9003070,,,49 YORKSHIRE STREET,,MORECAMBE,,ENGLAND,LA3 1QF,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,,17/04/2014,30,4,31/01/2024,30/04/2022,MICRO ENTITY,15/05/2017,17/04/2016,0,0,0,0,81210 - General cleaning of buildings,,,,0,0,http://business.data.gov.uk/id/company/09003070,,,,,,,,,,,,,,,,,,,,,01/05/2024,17/04/2023
38 DEGREES TRAINING AND BUSINESS SUPPORT LTD.,6326721,,,12 SHORTLANDS DRIVE,HEYSHAM,MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 2NT,Private Limited Company,Active,United Kingdom,,27/07/2007,31,7,30/04/2024,31/07/2022,UNAUDITED ABRIDGED,24/08/2016,27/07/2015,0,0,0,0,70229 - Management consultancy activities other than financial management,,,,0,0,http://business.data.gov.uk/id/company/06326721,03/04/2018,JG TRAINING AND CONSULTANCY LIMITED,,,,,,,,,,,,,,,,,,,23/08/2024,09/08/2023
49/50 SANDYLANDS OWNERS LTD,13038704,,,49/50 SANDYLANDS PROMENADE FLAT 8,49/50 SANDYLANDS PROMENADE,MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 1DW,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,,23/11/2020,30,11,31/08/2024,30/11/2022,DORMANT,21/12/2021,,0,0,0,0,98000 - Residents property management,,,,0,0,http://business.data.gov.uk/id/company/13038704,,,,,,,,,,,,,,,,,,,,,06/12/2023,22/11/2022
"64-74 LOW ROAD, MIDDLETON LIMITED",5606155,,,68 LOW ROAD,MIDDLETON,MORECAMBE,LANCASHIRE,,LA3 3LG,Private Limited Company,Active,United Kingdom,,28/10/2005,31,3,31/12/2023,31/03/2022,TOTAL EXEMPTION FULL,25/11/2016,28/10/2015,0,0,0,0,98000 - Residents property management,,,,0,0,http://business.data.gov.uk/id/company/05606155,,,,,,,,,,,,,,,,,,,,,11/11/2023,28/10/2022
718 LIMITED,7737285,,,4 WEMYSS CLOSE,,HEYSHAM,,ENGLAND,LA3 2UG,Private Limited Company,Active,United Kingdom,,11/08/2011,31,8,31/05/2024,31/08/2022,MICRO ENTITY,08/09/2016,11/08/2015,0,0,0,0,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id/company/07737285,,,,,,,,,,,,,,,,,,,,,25/08/2024,11/08/2023
76 SANDYLANDS PROMENADE (MORECAMBE) MANAGEMENT LIMITED,6350349,,,76 SANDYLANDS PROMENADE,HEYSHAM,MORECAMBE,LANCASHIRE,,LA3 1DW,Private Limited Company,Active,United Kingdom,,22/08/2007,31,8,31/05/2024,31/08/2022,DORMANT,19/09/2016,22/08/2015,0,0,0,0,55900 - Other accommodation,,,,0,0,http://business.data.gov.uk/id/company/06350349,,,,,,,,,,,,,,,,,,,,,09/08/2024,26/07/2023
82 SANDYLANDS RESIDENTS ASSOCIATION LIMITED,2390882,,,82 SANDYLANDS PROMENADE,MORECAMBE,LANCASHIRE,,,LA3 1DP,Private Limited Company,Active,United Kingdom,,01/06/1989,31,3,31/12/2023,31/03/2022,MICRO ENTITY,29/06/2017,01/06/2016,0,0,0,0,98000 - Residents property management,,,,0,0,http://business.data.gov.uk/id/company/02390882,,,,,,,,,,,,,,,,,,,,,15/06/2024,01/06/2023
83 SANDYLANDS PROMENADE MANAGEMENT COMPANY LIMITED,5950869,,,64 KNOWLYS ROAD,,HEYSHAM,LANCASHIRE,,LA3 2PG,Private Limited Company,Active,United Kingdom,,29/09/2006,30,9,30/06/2010,30/09/2008,DORMANT,27/09/2010,30/08/2009,0,0,0,0,"7032 - Manage real estate, fee or contract",,,,0,0,http://business.data.gov.uk/id/company/05950869,,,,,,,,,,,,,,,,,,,,,13/09/2016,
91 SANDYLANDS PROMENADE MANAGEMENT COMPANY LIMITED,11539815,,,"BASEMENT FLAT, 91 SANDYLANDS PROMENADE",HEYSHAM,MORECAMBE,,ENGLAND,LA3 1DP,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,,28/08/2018,31,8,31/05/2024,31/08/2022,MICRO ENTITY,25/09/2019,,0,0,0,0,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id/company/11539815,,,,,,,,,,,,,,,,,,,,,14/09/2024,31/08/2023
A BREATH FOR LIFE CHILDRENS CHARITY,3518921,,,HYPERBARIC OXYGEN CENTRE BORRANS LANE,MIDDLETON,MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 3JJ,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,United Kingdom,,27/02/1998,28,2,30/11/2023,28/02/2022,TOTAL EXEMPTION FULL,27/03/2017,27/02/2016,0,0,0,0,86900 - Other human health activities,,,,0,0,http://business.data.gov.uk/id/company/03518921,,,,,,,,,,,,,,,,,,,,,12/03/2024,27/02/2023
A FAMILY'S BEST FRIEND LTD,13215381,,,27 BOLD STREET,HEYSHAM,MORECAMBE,,ENGLAND,LA3 1TS,Private Limited Company,Active,United Kingdom,,22/02/2021,28,2,30/11/2024,28/02/2023,DORMANT,22/03/2022,,0,0,0,0,88100 - Social work activities without accommodation for the elderly and disabled,88910 - Child day-care activities,,,0,0,http://business.data.gov.uk/id/company/13215381,,,,,,,,,,,,,,,,,,,,,06/03/2024,21/02/2023
A J BOLSOVER & SON LTD,11462251,,,12 LANCASTER ROAD,OVERTON,MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 3EZ,Private Limited Company,Active,United Kingdom,,12/07/2018,31,7,30/04/2024,31/07/2022,MICRO ENTITY,09/08/2019,,0,0,0,0,02100 - Silviculture and other forestry activities,81300 - Landscape service activities,,,0,0,http://business.data.gov.uk/id/company/11462251,,,,,,,,,,,,,,,,,,,,,22/10/2023,08/10/2022
A MATTER OF TASTE CATERERS LTD,14629036,,,15 THRESHFIELD AVENUE,,MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 2DU,Private Limited Company,Active,United Kingdom,,31/01/2023,31,1,31/10/2024,,NO ACCOUNTS FILED,28/02/2024,,0,0,0,0,56210 - Event catering activities,,,,0,0,http://business.data.gov.uk/id/company/14629036,,,,,,,,,,,,,,,,,,,,,13/02/2024,
A P SIMPSON NUCLEAR GROUP LIMITED,10857381,,,52 KINGSWAY,HEYSHAM,MORECAMBE,,ENGLAND,LA3 2EE,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,10/07/2017,31,7,30/04/2022,31/07/2020,MICRO ENTITY,07/08/2018,,0,0,0,0,39000 - Remediation activities and other waste management services,,,,0,0,http://business.data.gov.uk/id/company/10857381,,,,,,,,,,,,,,,,,,,,,25/07/2022,11/07/2021
A TO Z FABRICATIONS LTD,13117754,,,12A WHITEFIELD PLACE,,MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 3EA,Private Limited Company,Active,United Kingdom,,06/01/2021,31,3,31/12/2023,31/03/2022,MICRO ENTITY,03/02/2022,,0,0,0,0,25990 - Manufacture of other fabricated metal products n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/13117754,,,,,,,,,,,,,,,,,,,,,27/01/2024,13/01/2023
A W OFFSHORE LIMITED,7944101,,,73 GRANVILLE ROAD,HEYSHAM,MORECAMBE,,,LA3 1ED,Private Limited Company,Active,United Kingdom,,09/02/2012,29,2,30/11/2023,28/02/2022,MICRO ENTITY,09/03/2017,09/02/2016,0,0,0,0,86900 - Other human health activities,,,,0,0,http://business.data.gov.uk/id/company/07944101,,,,,,,,,,,,,,,,,,,,,03/11/2023,20/10/2022
A&L PLASTERING LTD,14756687,,,44 LISTER GROVE,HEYSHAM,MORECAMBE,,ENGLAND,LA3 2DG,Private Limited Company,Active,United Kingdom,,25/03/2023,31,3,25/12/2024,,NO ACCOUNTS FILED,22/04/2024,,0,0,0,0,43310 - Plastering,,,,0,0,http://business.data.gov.uk/id/company/14756687,,,,,,,,,,,,,,,,,,,,,07/04/2024,
A&L TILING CONTRACTORS LTD,14659770,,,44 LISTER GROVE,HEYSHAM,MORECAMBE,,ENGLAND,LA3 2DG,Private Limited Company,Active,United Kingdom,,13/02/2023,28,2,13/11/2024,,NO ACCOUNTS FILED,12/03/2024,,0,0,0,0,43290 - Other construction installation,,,,0,0,http://business.data.gov.uk/id/company/14659770,,,,,,,,,,,,,,,,,,,,,26/02/2024,
A.C.R. PROPERTY & ELECTRICAL SERVICES LIMITED,4865167,,,417-419 HEYSHAM ROAD,HEYSHAM,MORECAMBE,LANCASHIRE,,LA3 2JJ,Private Limited Company,Active,United Kingdom,,13/08/2003,30,11,30/11/2023,30/11/2021,TOTAL EXEMPTION FULL,10/09/2016,13/08/2015,0,0,0,0,43210 - Electrical installation,,,,0,0,http://business.data.gov.uk/id/company/04865167,,,,,,,,,,,,,,,,,,,,,27/08/2024,13/08/2023
A1 UP AND OVER DOORS (HEYSHAM) LTD,4634901,,,UNIT 9B,VICKERS INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,ENGLAND,LA3 3EN,Private Limited Company,Active,United Kingdom,,13/01/2003,31,1,31/10/2024,31/01/2023,TOTAL EXEMPTION FULL,10/02/2017,13/01/2016,0,0,0,0,43320 - Joinery installation,,,,0,0,http://business.data.gov.uk/id/company/04634901,,,,,,,,,,,,,,,,,,,,,15/10/2023,01/10/2022
AAA RECOVERY AND LOGISTICS LTD,13913561,,,5 MEADUP COURT,,MORECAMBE,,ENGLAND,LA3 3NS,Private Limited Company,Active,United Kingdom,,14/02/2022,28,2,14/11/2023,,NO ACCOUNTS FILED,14/03/2023,,0,0,0,0,45310 - Wholesale trade of motor vehicle parts and accessories,,,,0,0,http://business.data.gov.uk/id/company/13913561,,,,,,,,,,,,,,,,,,,,,27/02/2024,13/02/2023
AB PLANT SOLUTIONS LIMITED,9716314,,,9 BARTON MOBILE HOME PARK,WESTGATE,MORECAMBE,,ENGLAND,LA3 3BA,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,04/08/2015,30,7,30/04/2022,31/07/2020,MICRO ENTITY,01/09/2016,,0,0,0,0,09900 - Support activities for other mining and quarrying,,,,0,0,http://business.data.gov.uk/id/company/09716314,,,,,,,,,,,,,,,,,,,,,17/08/2021,03/08/2020
ABSOLUTE ENTERPRISES (UK) LIMITED,5945720,,,39 NORTHGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,ENGLAND,LA3 3PA,Private Limited Company,Active,United Kingdom,,25/09/2006,30,9,30/06/2024,30/09/2022,MICRO ENTITY,23/10/2016,25/09/2015,0,0,0,0,43999 - Other specialised construction activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/05945720,,,,,,,,,,,,,,,,,,,,,09/10/2024,25/09/2023
AC ENGINEERING SERVICES (UK) LIMITED,4721789,,,"WOODGATE BUSINESS CENTRE WOODGATE PARK, MIDDLEGATE",WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,ENGLAND,LA3 3PS,Private Limited Company,Active,United Kingdom,,03/04/2003,30,4,31/01/2024,30/04/2022,DORMANT,01/05/2017,03/04/2016,0,0,0,0,99999 - Dormant Company,,,,0,0,http://business.data.gov.uk/id/company/04721789,,,,,,,,,,,,,,,,,,,,,17/04/2024,03/04/2023
ACJS MANAGEMENT COMPANY LIMITED,10364601,,,64 KNOWLYS ROAD,HEYSHAM,MORECAMBE,,ENGLAND,LA3 2PG,Private Limited Company,Active,United Kingdom,,07/09/2016,30,9,30/06/2024,30/09/2022,DORMANT,05/10/2017,,0,0,0,0,98000 - Residents property management,,,,0,0,http://business.data.gov.uk/id/company/10364601,,,,,,,,,,,,,,,,,,,,,20/09/2024,06/09/2023
ACORN NORTHWEST LIMITED,9406475,,,99 FAIRFIELD ROAD,HEYSHAM,MORECAMBE,,,LA3 1JP,Private Limited Company,Active,United Kingdom,,26/01/2015,31,12,30/09/2024,31/12/2022,MICRO ENTITY,28/05/2017,30/04/2016,0,0,0,0,43290 - Other construction installation,43320 - Joinery installation,81210 - General cleaning of buildings,,0,0,http://business.data.gov.uk/id/company/09406475,,,,,,,,,,,,,,,,,,,,,14/05/2024,30/04/2023
ACS REMOVAL CUMBRIA LTD,13959604,,,"FLAT 1, SUNACRE COURT MAPLE AVENUE",HEYSHAM,MORECAMBE,,ENGLAND,LA3 1HY,Private Limited Company,Active,United Kingdom,,07/03/2022,31,3,07/12/2023,,NO ACCOUNTS FILED,04/04/2023,,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/13959604,,,,,,,,,,,,,,,,,,,,,20/03/2024,06/03/2023
ADE PARENT LIMITED,12071175,,,ADE PARENT LIMITED MIDDLETON ROAD,HEYSHAM,MORECAMBE,,ENGLAND,LA3 2SE,Private Limited Company,Active,United Kingdom,,26/06/2019,31,3,31/12/2023,31/03/2022,TOTAL EXEMPTION FULL,24/07/2020,,0,0,0,0,70100 - Activities of head offices,,,,0,0,http://business.data.gov.uk/id/company/12071175,,,,,,,,,,,,,,,,,,,,,23/08/2024,09/08/2023
ADELANN LTD,11122585,,,39 NORTHGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,,ENGLAND,LA3 3PA,Private Limited Company,Active,United Kingdom,,22/12/2017,31,12,30/09/2024,31/12/2022,MICRO ENTITY,19/01/2019,,2,2,0,0,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id/company/11122585,,,,,,,,,,,,,,,,,,,,,04/01/2024,21/12/2022
ADVANCE STEEL WORX LIMITED,14233540,,,UNIT 7 SOUTHGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,,ENGLAND,LA3 3PB,Private Limited Company,Active,United Kingdom,,14/07/2022,31,7,14/04/2024,,NO ACCOUNTS FILED,11/08/2023,,0,0,0,0,25990 - Manufacture of other fabricated metal products n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/14233540,,,,,,,,,,,,,,,,,,,,,27/07/2024,13/07/2023
ADVANCED DIGITAL MEDIA (BARROW) LTD,13928992,,,C/O BLEND ACCOUNTANTS FIRST FLOOR BRUNEL HOUSE 9 PENROD WAY,HEYSHAM,MORECAMBE,LANCASHIRE,ENGLAND,LA3 2UZ,Private Limited Company,Active,United Kingdom,,21/02/2022,28,2,30/11/2024,28/02/2023,DORMANT,21/03/2023,,0,0,0,0,63120 - Web portals,,,,0,0,http://business.data.gov.uk/id/company/13928992,,,,,,,,,,,,,,,,,,,,,05/03/2024,20/02/2023
ADVANCED DIGITAL MEDIA LIMITED,9508538,,,C/O BLEND ACCOUNTANTS 9 PENROD WAY,HEYSHAM,MORECAMBE,,ENGLAND,LA3 2UZ,Private Limited Company,Active,United Kingdom,,25/03/2015,31,3,31/12/2023,31/03/2022,TOTAL EXEMPTION FULL,22/04/2017,25/03/2016,1,1,0,0,"63110 - Data processing, hosting and related activities",,,,0,0,http://business.data.gov.uk/id/company/09508538,,,,,,,,,,,,,,,,,,,,,06/03/2024,21/02/2023
ADVANCED INSPECTION SOLUTIONS LIMITED,8620814,,,C/O BLEND ACCOUNTANTS FIRST FLOOR BRUNEL HOUSE,9 PENROD WAY,HEYSHAM,LANCASHIRE,ENGLAND,LA3 2UZ,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,23/07/2013,31,7,30/04/2024,31/07/2022,DORMANT,20/08/2016,23/07/2015,0,0,0,0,74990 - Non-trading company,,,,0,0,http://business.data.gov.uk/id/company/08620814,,,,,,,,,,,,,,,,,,,,,05/07/2024,21/06/2023
ADVANCED WINDOWS LTD,13407638,,,UNIT 5 BUTLERS YARD,MIDDLETON ROAD,HEYSHAM,,ENGLAND,LA3 3JJ,Private Limited Company,Active,United Kingdom,,19/05/2021,31,5,29/02/2024,31/05/2022,TOTAL EXEMPTION FULL,16/06/2022,,0,0,0,0,43342 - Glazing,,,,0,0,http://business.data.gov.uk/id/company/13407638,,,,,,,,,,,,,,,,,,,,,20/08/2024,06/08/2023
ADVANCEDCONTRACTORS LTD,15138618,,,3 HADRIAN ROAD,,MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 3BX,Private Limited Company,Active,United Kingdom,,14/09/2023,30,9,14/06/2025,,NO ACCOUNTS FILED,12/10/2024,,0,0,0,0,43910 - Roofing activities,,,,0,0,http://business.data.gov.uk/id/company/15138618,,,,,,,,,,,,,,,,,,,,,27/09/2024,
AE POWER LIMITED,11160263,,,39 NORTHGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,ENGLAND,LA3 3PA,Private Limited Company,Active,United Kingdom,,19/01/2018,31,1,31/10/2024,31/01/2023,DORMANT,16/02/2019,,0,0,0,0,99999 - Dormant Company,,,,0,0,http://business.data.gov.uk/id/company/11160263,,,,,,,,,,,,,,,,,,,,,01/02/2024,18/01/2023
